  [AR Baseline] Step    400/956 | Loss:   4.16 | CE: 4.162 | LR: 3.01e-04 |   0.6 st/s |    73,602 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6325.00M | ETA: 16.5m
  [AR Baseline] Step    450/956 | Loss:   4.32 | CE: 4.318 | LR: 2.71e-04 |   0.6 st/s |    73,909 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6325.00M | ETA: 15.0m
  [AR Baseline] Step    500/956 | Loss:   4.38 | CE: 4.383 | LR: 2.38e-04 |   0.6 st/s |    73,833 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6325.00M | ETA: 13.5m
  [AR Baseline] Step    550/956 | Loss:   4.06 | CE: 4.059 | LR: 2.05e-04 |   0.6 st/s |    74,063 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6309.00M | ETA: 12.0m
  [AR Baseline] Step    600/956 | Loss:   4.04 | CE: 4.037 | LR: 1.73e-04 |   0.6 st/s |    74,152 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6301.00M | ETA: 10.5m
  [AR Baseline] Step    650/956 | Loss:   4.17 | CE: 4.174 | LR: 1.42e-04 |   0.6 st/s |    74,341 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6301.00M | ETA:  9.0m
  [AR Baseline] Step    700/956 | Loss:   4.07 | CE: 4.071 | LR: 1.14e-04 |   0.6 st/s |    74,353 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6301.00M | ETA:  7.5m
  [AR Baseline] Step    750/956 | Loss:   4.34 | CE: 4.341 | LR: 8.90e-05 |   0.6 st/s |    74,254 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6301.00M | ETA:  6.1m
  [AR Baseline] Step    800/956 | Loss:   4.25 | CE: 4.251 | LR: 6.87e-05 |   0.6 st/s |    74,117 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6285.00M | ETA:  4.6m
  [AR Baseline] Step    850/956 | Loss:   4.03 | CE: 4.032 | LR: 5.34e-05 |   0.6 st/s |    74,262 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6285.00M | ETA:  3.1m
  [AR Baseline] Step    900/956 | Loss:   3.95 | CE: 3.954 | LR: 4.38e-05 |   0.6 st/s |    73,982 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6285.00M | ETA:  1.7m
  [AR Baseline] Step    950/956 | Loss:   4.02 | CE: 4.023 | LR: 4.00e-05 |   0.6 st/s |    74,090 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6285.00M | ETA:  0.2m
  [AR Baseline] Step    956/956 | Loss:   4.08 | CE: 4.082 | LR: 4.00e-05 |   0.6 st/s |    74,059 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6285.00M | ETA:  0.0m
  Step      1/956 | ELBO Loss:  34.34 | CE: 9.490 | LR: 8.00e-06 |   0.6 st/s |    77,307 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6285.00M | ETA: 27.0m
  Step     50/956 | ELBO Loss:  27.07 | CE: 7.376 | LR: 2.04e-04 |   0.6 st/s |    77,222 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6237.00M | ETA: 25.6m
  Step    100/956 | ELBO Loss:  23.13 | CE: 6.645 | LR: 4.00e-04 |   0.6 st/s |    77,869 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6221.00M | ETA: 24.0m
  Step    150/956 | ELBO Loss:  22.48 | CE: 6.518 | LR: 3.97e-04 |   0.6 st/s |    76,565 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6205.00M | ETA: 23.0m
  Step    200/956 | ELBO Loss:  23.11 | CE: 6.358 | LR: 3.88e-04 |   0.6 st/s |    76,769 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6197.00M | ETA: 21.5m
  Step    250/956 | ELBO Loss:  22.49 | CE: 6.176 | LR: 3.73e-04 |   0.6 st/s |    77,653 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6173.00M | ETA: 19.9m
  Step    300/956 | ELBO Loss:  23.16 | CE: 6.276 | LR: 3.54e-04 |   0.6 st/s |    78,066 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6157.00M | ETA: 18.4m
  Step    350/956 | ELBO Loss:  21.68 | CE: 6.168 | LR: 3.29e-04 |   0.6 st/s |    78,323 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6157.00M | ETA: 16.9m
  Step    400/956 | ELBO Loss:  20.80 | CE: 5.884 | LR: 3.01e-04 |   0.6 st/s |    78,493 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6109.00M | ETA: 15.5m
  Step    450/956 | ELBO Loss:  19.71 | CE: 5.830 | LR: 2.71e-04 |   0.6 st/s |    78,323 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6069.00M | ETA: 14.1m
  Step    500/956 | ELBO Loss:  20.92 | CE: 5.826 | LR: 2.38e-04 |   0.6 st/s |    78,348 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6053.00M | ETA: 12.7m
  Step    550/956 | ELBO Loss:  20.17 | CE: 5.814 | LR: 2.05e-04 |   0.6 st/s |    78,391 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6037.00M | ETA: 11.3m
  Step    600/956 | ELBO Loss:  19.33 | CE: 5.565 | LR: 1.73e-04 |   0.6 st/s |    78,402 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5989.00M | ETA:  9.9m
  Step    650/956 | ELBO Loss:  20.04 | CE: 5.745 | LR: 1.42e-04 |   0.6 st/s |    78,072 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5973.00M | ETA:  8.6m
  Step    700/956 | ELBO Loss:  18.72 | CE: 5.645 | LR: 1.14e-04 |   0.6 st/s |    77,531 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5973.00M | ETA:  7.2m
  Step    750/956 | ELBO Loss:  20.67 | CE: 5.959 | LR: 8.90e-05 |   0.6 st/s |    77,655 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5973.00M | ETA:  5.8m
  Step    800/956 | ELBO Loss:  19.85 | CE: 5.813 | LR: 6.87e-05 |   0.6 st/s |    77,459 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5949.00M | ETA:  4.4m
  Step    850/956 | ELBO Loss:  19.82 | CE: 5.548 | LR: 5.34e-05 |   0.6 st/s |    77,455 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5925.00M | ETA:  3.0m
  Step    900/956 | ELBO Loss:  19.20 | CE: 5.630 | LR: 4.38e-05 |   0.6 st/s |    77,583 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5917.00M | ETA:  1.6m
  Step    950/956 | ELBO Loss:  20.14 | CE: 5.631 | LR: 4.00e-05 |   0.6 st/s |    77,431 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5917.00M | ETA:  0.2m
  Step    956/956 | ELBO Loss:  18.56 | CE: 5.561 | LR: 4.00e-05 |   0.6 st/s |    77,464 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5917.00M | ETA:  0.0m
  [UNDLM] Step      1/956 | ELBO Loss:  24.33 | CE: 9.114 | LR: 8.00e-06 |   0.6 st/s |    83,982 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5917.00M | ETA: 24.8m
  [UNDLM] Step     50/956 | ELBO Loss:  16.77 | CE: 6.643 | LR: 2.04e-04 |   0.6 st/s |    77,906 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5877.00M | ETA: 25.4m
  [UNDLM] Step    100/956 | ELBO Loss:  12.52 | CE: 5.571 | LR: 4.00e-04 |   0.6 st/s |    77,149 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5877.00M | ETA: 24.2m
  [UNDLM] Step    150/956 | ELBO Loss:   9.11 | CE: 4.348 | LR: 3.97e-04 |   0.6 st/s |    78,136 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5877.00M | ETA: 22.5m
  [UNDLM] Step    200/956 | ELBO Loss:   7.88 | CE: 3.876 | LR: 3.88e-04 |   0.6 st/s |    76,340 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5877.00M | ETA: 21.6m
